#It	alpha=-2	alpha=-3	alpha=-4	alpha=-5	alpha=-6	alpha=-7	alpha=-8
1	1.29035	0.443804	0.0599124	0.00620745	0.000622991	6.23E-05	6.23E-06
2	0.550855	0.0708248	0.00126729	1.36E-05	1.36E-07	1.64E-09	8.80E-09
3	0.301433	0.0138191	3.16E-05	3.47E-08	9.55E-11	8.70E-10	7.63E-09
4	0.184722	0.00285383	8.15E-07	9.22E-11			7.26E-09
5	0.120605	0.000599541	2.13E-08				6.62E-09
6	0.0818872	0.000126617	5.56E-10				6.55E-09
7	0.0570204	2.68E-05					6.62E-09
8	0.040363	5.67E-06					5.98E-09
9	0.0288774	1.20E-06					6.42E-09
10	0.0208013	2.54E-07					6.12E-09
11	0.0150487	5.38E-08					5.96E-09
12	0.0109165	1.14E-08					5.80E-09
13	0.00793244	2.41E-09					5.85E-09
14	0.00577014	5.10E-10					5.89E-09
15	0.0042						5.77E-09
16	0.00305835						5.81E-09
17	0.00222758						6.09E-09
18	0.00162273						6.05E-09
19	0.00118222						5.81E-09
20	0.000861347						5.64E-09
21	0.000627586						5.27E-09
22	0.000457275						5.19E-09
23	0.000333187						5.08E-09
24	0.000242774						5.34E-09
25	0.000176896						5.32E-09
26	0.000128895						5.41E-09
27	9.39E-05						5.64E-09
28	6.84E-05						5.32E-09
29	4.99E-05						5.56E-09
30	3.63E-05						5.39E-09
31	2.65E-05						5.45E-09
32	1.93E-05						5.46E-09
33	1.41E-05						5.42E-09
34	1.02E-05						5.40E-09
35	7.46E-06						5.48E-09
36	5.44E-06						5.67E-09
37	3.96E-06						5.98E-09
38	2.89E-06						5.69E-09
39	2.10E-06						5.33E-09
40	1.53E-06						5.41E-09
41	1.12E-06						5.07E-09
42	8.14E-07						5.23E-09
43	5.93E-07						5.53E-09
44	4.32E-07						5.58E-09
45	3.15E-07						5.21E-09
46	2.29E-07						5.18E-09
47	1.67E-07						5.36E-09
48	1.22E-07						5.08E-09
49	8.88E-08						5.10E-09
50	6.47E-08						5.45E-09
