#It	alpha=-2	alpha=-3	alpha=-4	alpha=-5	alpha=-6	alpha=-7	alpha=-8
1	3.0424	1.85791	0.555048	0.0708371	0.0072851	0.000730586	7.31E-05
2	1.4974	0.72922	0.0737993	0.0011923	1.26E-05	1.27E-07	6.37E-09
3	0.94435	0.378382	0.0121195	2.39E-05	2.58E-08	6.26E-10	6.23E-09
4	0.669373	0.221187	0.00210312	4.99E-07	8.23E-11		5.39E-09
5	0.508219	0.137777	0.000370818	1.05E-08			5.19E-09
6	0.403581	0.0890753	6.57E-05	2.22E-10			4.98E-09
7	0.330747	0.058895	1.17E-05				4.91E-09
8	0.277445	0.0394702	2.07E-06				4.84E-09
9	0.236933	0.0266663	3.67E-07				4.76E-09
10	0.20522	0.018102	6.52E-08				4.66E-09
11	0.179801	0.0123226	1.16E-08				4.55E-09
12	0.159028	0.00840199	2.05E-09				4.46E-09
13	0.141777	0.0057342	3.64E-10				4.43E-09
14	0.127253	0.00391562					4.42E-09
15	0.114882	0.00267464					4.52E-09
16	0.104238	0.0018273					4.54E-09
17	0.0949997	0.00124853					4.50E-09
18	0.0869187	0.000853128					4.43E-09
19	0.0798017	0.000582968					4.32E-09
20	0.0734955	0.000398368					4.36E-09
21	0.0678773	0.000272225					4.23E-09
22	0.0628474	0.000186027					4.24E-09
23	0.0583243	0.000127123					4.25E-09
24	0.0542405	8.69E-05					4.23E-09
25	0.0505398	5.94E-05					4.26E-09
26	0.0471752	4.06E-05					4.18E-09
27	0.0441065	2.77E-05					4.10E-09
28	0.0413	1.89E-05					4.09E-09
29	0.0387264	1.29E-05					4.10E-09
30	0.0363605	8.85E-06					4.01E-09
31	0.0341808	6.05E-06					3.99E-09
32	0.0321683	4.13E-06					4.04E-09
33	0.0303064	2.82E-06					4.01E-09
34	0.0285805	1.93E-06					4.08E-09
35	0.026978	1.32E-06					4.08E-09
36	0.0254874	9.01E-07					4.06E-09
37	0.0240988	6.16E-07					4.05E-09
38	0.0228031	4.21E-07					4.03E-09
39	0.0215925	2.88E-07					3.97E-09
40	0.0204598	1.96E-07					3.85E-09
41	0.0193985	1.34E-07					3.88E-09
42	0.018403	9.17E-08					3.91E-09
43	0.0174681	6.27E-08					3.93E-09
44	0.0165891	4.28E-08					3.94E-09
45	0.0157617	2.93E-08					3.98E-09
46	0.0149822	2.00E-08					3.97E-09
47	0.0142471	1.37E-08					3.91E-09
48	0.0135533	9.34E-09					3.92E-09
49	0.0128978	6.38E-09					3.96E-09
50	0.012278	4.36E-09					3.94E-09
