#It	alpha=0	    alpha=-1	alpha=-2	alpha=-3	alpha=-4	alpha=-5	alpha=-6
1   0.0486634   0.00508884  0.000511216 5.1145e-05  5.11475e-06 5.11744e-07 1.25278e-07
2   0.00128818  1.39888e-05 1.41068e-07 1.41697e-09 1.26167e-09 1.2777e-08  1.2015e-07
3   3.93489e-05 4.41416e-08 4.61003e-11 1.15508e-10 1.03635e-09 1.05023e-08 9.91195e-08
4   1.24221e-06 1.43639e-10 0           0           9.49504e-10 8.43327e-09 9.52555e-08
5   3.95288e-08 0           0           0           0           8.86361e-09 8.8632e-08
6   1.26029e-09 0           0           0           0           8.64367e-09 8.61567e-08
7   4.02009e-11 0           0           0           0           7.21998e-09 9.38804e-08
8   0           0           0           0           0           7.25266e-09 9.07106e-08
9   0           0           0           0           0           6.76569e-09 8.64138e-08
10  0           0           0           0           0           7.14563e-09 9.36045e-08
11  0           0           0           0           0           7.79593e-09 9.25739e-08
12  0           0           0           0           0           7.45707e-09 7.91673e-08
13  0           0           0           0           0           7.38567e-09 8.64492e-08
14  0           0           0           0           0           5.98059e-09 8.85532e-08
15  0           0           0           0           0           6.02478e-09 7.68473e-08
16  0           0           0           0           0           5.72648e-09 7.60647e-08
17  0           0           0           0           0           5.30011e-09 6.96232e-08
18  0           0           0           0           0           5.34972e-09 6.93464e-08
19  0           0           0           0           0           5.79374e-09 6.97631e-08
20  0           0           0           0           0           5.17642e-09 7.18045e-08
21  0           0           0           0           0           5.39354e-09 7.01315e-08
22  0           0           0           0           0           5.59913e-09 7.46245e-08
23  0           0           0           0           0           6.27378e-09 7.20624e-08
24  0           0           0           0           0           6.58708e-09 7.4127e-08
25  0           0           0           0           0           6.0431e-09  8.02286e-08
