#It	alpha=-0	alpha=-1	alpha=-2	alpha=-3	alpha=-4	alpha=-5	alpha=-6
1   0.108802    0.0113628   0.00114134  0.000114185 1.14191e-05 1.20166e-06 3.78969e-06
2   0.00281626  3.06146e-05 3.08763e-07 4.85663e-09 3.7901e-08  3.81253e-07 3.70107e-06
3   8.71714e-05 9.80143e-08 3.94455e-10 3.80546e-09 3.20079e-08 3.25297e-07 3.27492e-06
4   2.80691e-06 3.27739e-10 0           3.22270e-09 3.12484e-08 3.05039e-07 3.09067e-06
5   9.12639e-08 0           0           3.03867e-09 3.06197e-08 2.91138e-07 2.94396e-06
6   2.97466e-09 0           0           2.96193e-09 2.97705e-08 2.83001e-07 2.9095e-06
7   9.7092e-11  0           0           2.97631e-09 2.93896e-08 2.80371e-07 2.89477e-06
8   0           0           0           2.93113e-09 2.88852e-08 2.81631e-07 2.91402e-06
9   0           0           0           2.93547e-09 2.87033e-08 2.76212e-07 2.81318e-06
10  0           0           0           2.83296e-09 2.84785e-08 2.72009e-07 2.77018e-06
11  0           0           0           2.79841e-09 2.78323e-08 2.72375e-07 2.71743e-06
12  0           0           0           2.80103e-09 2.77222e-08 2.69829e-07 2.70701e-06
13  0           0           0           2.75927e-09 2.76941e-08 2.70001e-07 2.75009e-06
14  0           0           0           2.76954e-09 2.7239e-08  2.68401e-07 2.71889e-06
15  0           0           0           2.71753e-09 2.78113e-08 2.70216e-07 2.73539e-06
16  0           0           0           2.76384e-09 2.72287e-08 2.66981e-07 2.70385e-06
17  0           0           0           2.79114e-09 2.68883e-08 2.68352e-07 2.67533e-06
18  0           0           0           2.72731e-09 2.68391e-08 2.67945e-07 2.68295e-06
19  0           0           0           2.68449e-09 2.62103e-08 2.65534e-07 2.69255e-06
20  0           0           0           2.69259e-09 2.65703e-08 2.61733e-07 2.72804e-06
21  0           0           0           2.70355e-09 2.62984e-08 2.60486e-07 2.71097e-06
22  0           0           0           2.70529e-09 2.62528e-08 2.58852e-07 2.64971e-06
23  0           0           0           2.65982e-09 2.57786e-08 2.64301e-07 2.62123e-06
24  0           0           0           2.63834e-09 2.62897e-08 2.6875e-07  2.54277e-06
25  0           0           0           2.65491e-09 2.59714e-08 2.63381e-07 2.61202e-06
